Compound,Pearson r,Spearman rho,Kendall tau,Lins CCC,RMSE,MAE,Bias,Concordance_05,Slope,Intercept
Thioacetamide,0.769886569911155,0.7641477155719681,0.5658303879070801,0.7617841036181049,1.2016261726014887,0.963483298861308,-0.007769236833828397,0.8119200571020699,0.6655345554318013,0.014043036092860867
Acetaminophen,0.7832116619994758,0.7721018822335425,0.5738410581304879,0.778034540538072,1.1265031308078126,0.9075522910125307,-0.04827783943187258,0.8257902298850575,0.7004427775530832,-0.015768692662527048
CCl4,0.8472250185052776,0.8440173360019261,0.6499121929532066,0.8444598719558405,0.9873271529048645,0.7820923550013088,0.0030241200918021864,0.869281045751634,0.7813952597558675,0.01688216626829464
Allyl alcohol,0.6882052463006474,0.6814368077152007,0.49010470156718905,0.6827744404824662,1.3590373028661709,1.0876520281123587,-0.015972400839337087,0.7672843905915895,0.6069177547209049,-0.01381186207431464
Bromobenzene,0.7359075933778749,0.7250896747877416,0.5290692453039902,0.7313681856358512,1.280981862606236,1.0242677110749163,-0.012045774380418654,0.7938329150233059,0.6584974787275759,0.0095545781511173
